@relation langid_train

@attribute language_class {EN,FR,SP}
@attribute text String

@data
EN,'I didn\'t know it was police housing,\" officers quoted Tsuchida as saying.'
EN,'You would be a great client for Southern Indiana Homeownership\'s credit counseling but you are saying to yourself \"Oh, we can pay that off.\"'
EN,'He believes the 21st century will be the \"century of biology\" just as the 20th century was the century of IT.'
EN,'They even call the civil rights organization a bit hypocritical.'
EN,'But while VRE is not a threat to healthy individuals, its effect on the four HIV patients is potentially serious.'
EN,'Earlier on Tuesday, roadside bombs, including one that exploded near Asadabad, killed five policeman, one of them a Kunar district police chief.'
EN,'It was very quick,â€ Boilini said.'
EN,'Serra (16-8) and Chadwick (11-12) meet in a first-round match on Friday.'
EN,'At the same time, new figures revealed that incidents of violent crime in Britain had risen nine percent in the last three months of 2004.'
EN,'People who qualify will get help paying for their drug plan\'s monthly premium and/or for some of the cost they would normally have to pay for their prescriptions.'
EN,'\"It has much more commercial potential.\"'
EN,'Search for your new home - if you\'re for a home in San Diego, CA.'
EN,'Lehrer asked Driver which issues raised by the public were not addressed.'
EN,'Excluding items, the company had a profit of 20 cents a share.'
EN,'Eleven countries received a total of 13,438 metric tonnes of exemptions for the first post-phase-out year of 2005.'
EN,'Victory got several one-on-one chances at the Hillers net but had trouble finishing.'
EN,'It showed a slight strain, but the Giants chose to be extra cautious with Alou since he\'s had the same calf problem before.'
EN,'Despite declining revenue, Private Business CEO Henry Baroco says the company is on the right track.'
EN,'He averaged 11.4 points and 4.0 assists per game.'
EN,'Stephanie Kaput had the lone goal for the Mighty Macs.'
EN,'While that number was the same in the Fall survey, only 46% of students were looking to buy a device at that time.'
EN,'Microsoft is preparing one final update to Windows 2000.'
EN,'Was this an independent initiative or was the US behind it?'
EN,'The first field testing was likely to be in Cyprus against recently found anti-tank mines placed in an urban area with anti-move devices attached, Richards said.'
EN,'Mr Wall said he hoped a film theatre would be part of the leisure facilities on offer at the site.'
EN,'They will be interviewed from 10 a.m. until noon on Thursday, May 19, and then the riding competition starts at 1 p.m. in the main arena.'
EN,'We can only take the best player who is available.'
EN,'Rounding first, Hinske pumped his fist when it landed in the seats, almost as if he knew a two-run lead would be enough with Halladay cruising and the Yankees scuffling.'
EN,'\"I fell in love with the sport almost immediately.\"'
EN,'\"Yeah, it is special,\" said Woods, who shot one-under 71 in the final round and regained the world No. 1 ranking with the victory.'
EN,'It will not be published.'
EN,'As Matthews neared graduation in 1984, he said he was uncertain as to what his next step would be - only that it had to involve the weather.'
EN,'Be\'er Sheva\'s only hope of survival is to beat champion Maccabi Haifa, while both Haifa and Sakhnin lose.'
EN,'Media duties handled by Aegis Group\'s Carat are not included in the review.'
EN,'Cleveland Indians 3-2 Thursday to snap their four-game losing streak.'
EN,'But hey, if you like to see guys fall on their head, then this was a zillion stars.'
EN,'More successful are Zhan McClarnon and Michael Spears as the Sioux brothers Running Fox and Dog Star.'
EN,'Use our search for homes feature to find a home that is right for you in San Diego.'
EN,'Special GPS and communications module options are also available.'
EN,'A year later, as a Texas freshman, Jones shattered the Longhorns\' record in the 100 meters - 10.14 seconds.'
EN,'The 3-point shot, spreading like dandelions in college basketball.'
EN,'Baril, a Richmond lawyer once nominated for a federal prosecutors job, endorsed a faith-based drug initiative in local jails patterned after the Henrico County jails therapeutic program called Project R.I.S.E.'
EN,'Just as important, he had a great foil across the net.'
EN,'Many defenders of Joseph Ratzinger\'s appointment as pope are arguing that his conservatism will make him generally popular among Catholics.'
EN,'Again, these objects, which also tend to wreak havoc in their neighborhoods by pouring out huge amounts of deadly radiation, represent specific causes.'
EN,'Lynda and Bum went to Russia in March of 1998 to visit him, and they went to the farm Vasiliev Sr. manages.'
EN,'Producers Processors Index, which has advanced 13 percent.'
EN,'It was designed by Edward Burgess, and was used to sail to the North Atlantic fishing grounds for cod.'
EN,'The 2006 U.S. Senate showdown will have some third-party flair.'
EN,'It was alleged the cycling great urinated in a glass of champagne his wife was drinking and on another occasion threatened to rip her arms off.'
EN,'If you could go anywhere on vacation, where would you go?'
EN,'The Oscar winner is taking legal action against Michael Clayton - who claims to be a \"look-a-like and sound-a-like double\" of the star - insisting he is passing himself off as the real thing.'
EN,'Marietta Christian School is currently registering students for the fall 2005-2006 school year.'
EN,'Registration will be held between 9-9:45 p.m., with competition following.'
EN,'China on Monday said its ties with Japan were at a 30-year low and repeated it would not apologise for the series of protests after a second day of talks between Mr Machimura and China\'s Foreign Minister, Li Zhaoxing.'
EN,'Well it is a priority for me.'
EN,'Others are grateful that something is being done to resolve this problem that has been a heavy burden on the diocese for a long time, and not only for the diocese but for the victims as well he said.'
EN,'Allstate officials said earlier this year that it paid about $2 billion in claims after Hurricanes Charley, Frances, Ivan and Jeanne hit Florida last year.'
EN,'But Leeds chairman Ken Bates described the Black Cats\' latest offer as \"derisory\", insisting the Yorkshire club will not be selling one of their prize assets.'
